1950-04-09,Buona Pasqua!
1951-03-25,Buona Pasqua!
1952-04-13,Buona Pasqua!
1953-04-05,Buona Pasqua!
1954-04-18,Buona Pasqua!
1955-04-10,Buona Pasqua!
1956-04-01,Buona Pasqua!
1957-04-21,Buona Pasqua!
1958-04-06,Buona Pasqua!
1959-03-29,Buona Pasqua!
1960-04-17,Buona Pasqua!
1961-04-02,Buona Pasqua!
1962-04-22,Buona Pasqua!
1963-04-14,Buona Pasqua!
1964-03-29,Buona Pasqua!
1965-04-18,Buona Pasqua!
1966-04-10,Buona Pasqua!
1967-03-26,Buona Pasqua!
1968-04-14,Buona Pasqua!
1969-04-06,Buona Pasqua!
1970-03-29,Buona Pasqua!
1971-04-11,Buona Pasqua!
1972-04-02,Buona Pasqua!
1973-04-22,Buona Pasqua!
1974-04-14,Buona Pasqua!
1975-03-30,Buona Pasqua!
1976-04-18,Buona Pasqua!
1977-04-10,Buona Pasqua!
1978-03-26,Buona Pasqua!
1979-04-15,Buona Pasqua!
1980-04-06,Buona Pasqua!
1981-04-19,Buona Pasqua!
1982-04-11,Buona Pasqua!
1983-04-03,Buona Pasqua!
1984-04-22,Buona Pasqua!
1985-04-07,Buona Pasqua!
1986-03-30,Buona Pasqua!
1987-04-19,Buona Pasqua!
1988-04-03,Buona Pasqua!
1989-03-26,Buona Pasqua!
1990-04-15,Buona Pasqua!
1991-03-31,Buona Pasqua!
1992-04-19,Buona Pasqua!
1993-04-11,Buona Pasqua!
1994-04-03,Buona Pasqua!
1995-04-16,Buona Pasqua!
1996-04-07,Buona Pasqua!
1997-03-30,Buona Pasqua!
1998-04-12,Buona Pasqua!
1999-04-04,Buona Pasqua!
2000-04-23,Buona Pasqua!
2001-04-15,Buona Pasqua!
2002-03-31,Buona Pasqua!
2003-04-20,Buona Pasqua!
2004-04-11,Buona Pasqua!
2005-03-27,Buona Pasqua!
2006-04-16,Buona Pasqua!
2007-04-08,Buona Pasqua!
2008-03-23,Buona Pasqua!
